timestamp,state,event_type,event_details,ram_usage_mb
2025-06-04 15:56:43,idle,SCRIPT_START,Dataset 4_mixed_anomalies,
2025-06-04 15:56:43,idle,SAMPLED_STATE,,27.78
2025-06-04 15:56:43,working_special_prep,WORKLOAD_START,"type:prep_anomaly,size:6000",
2025-06-04 15:56:44,working_special_prep,SAMPLED_STATE,,1036.95
2025-06-04 15:56:47,working_special_prep,SAMPLED_STATE,,1407.86
2025-06-04 15:56:48,working_special_prep,SAMPLED_STATE,,1427.36
2025-06-04 15:56:49,working_special_prep,SAMPLED_STATE,,1432.24
2025-06-04 15:56:50,working_special_prep,SAMPLED_STATE,,1586.41
2025-06-04 15:56:51,working_special_prep,SAMPLED_STATE,,1702.42
2025-06-04 15:56:52,working_special_prep,SAMPLED_STATE,,1702.42
2025-06-04 15:56:53,working_special_prep,SAMPLED_STATE,,1702.31
2025-06-04 15:56:54,working_special_prep,SAMPLED_STATE,,1702.31
2025-06-04 15:56:55,working_special_prep,SAMPLED_STATE,,1702.31
2025-06-04 15:56:56,working_special_prep,SAMPLED_STATE,,1702.31
2025-06-04 15:56:57,working_special_prep,SAMPLED_STATE,,1702.20
2025-06-04 15:56:58,working_special_prep,SAMPLED_STATE,,1702.20
2025-06-04 15:56:59,working_special_prep,SAMPLED_STATE,,1427.65
2025-06-04 15:56:59,working_special_prep,WORKLOAD_END,"type:prep_anomaly,size:6000,duration:15.57s",
2025-06-04 15:56:59,working_normal,WORKLOAD_START,"type:normal,size:5000",
2025-06-04 15:57:00,working_normal,SAMPLED_STATE,,817.47
2025-06-04 15:57:01,working_normal,SAMPLED_STATE,,1008.18
2025-06-04 15:57:02,working_normal,SAMPLED_STATE,,1008.18
2025-06-04 15:57:03,working_normal,SAMPLED_STATE,,1008.18
2025-06-04 15:57:04,working_normal,SAMPLED_STATE,,1008.18
2025-06-04 15:57:05,working_normal,SAMPLED_STATE,,1008.18
2025-06-04 15:57:06,working_normal,SAMPLED_STATE,,1008.18
2025-06-04 15:57:06,working_normal,WORKLOAD_END,"type:normal,size:5000,duration:7.34s",
2025-06-04 15:57:07,idle,SAMPLED_STATE,,54.52
2025-06-04 15:57:08,idle,SAMPLED_STATE,,54.52
2025-06-04 15:57:09,idle,SAMPLED_STATE,,54.52
2025-06-04 15:57:10,idle,SAMPLED_STATE,,54.52
2025-06-04 15:57:10,working_normal,WORKLOAD_START,"type:normal,size:3000",
