timestamp,state,event_type,event_details,cpu_percent
2025-05-26 09:57:31,idle,SCRIPT_START,,
2025-05-26 09:57:31,idle,SAMPLED_STATE,,0.0
2025-05-26 09:57:31,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-05-26 09:57:32,working_normal,SAMPLED_STATE,,95.2
2025-05-26 09:57:33,working_normal,SAMPLED_STATE,,99.5
2025-05-26 09:57:34,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.54s",
2025-05-26 09:57:34,idle,SAMPLED_STATE,,66.7
2025-05-26 09:57:35,idle,SAMPLED_STATE,,13.0
2025-05-26 09:57:36,idle,SAMPLED_STATE,,2.6
2025-05-26 09:57:37,idle,SAMPLED_STATE,,3.9
2025-05-26 09:57:38,working_normal,WORKLOAD_START,"type:normal,size:3000",
2025-05-26 09:57:38,working_normal,SAMPLED_STATE,,47.8
2025-05-26 09:57:39,working_normal,SAMPLED_STATE,,100.0
2025-05-26 09:57:39,working_normal,WORKLOAD_END,"type:normal,size:3000,duration:1.53s",
2025-05-26 09:57:40,idle,SAMPLED_STATE,,16.1
2025-05-26 09:57:41,idle,SAMPLED_STATE,,6.0
2025-05-26 09:57:42,idle,SAMPLED_STATE,,9.5
2025-05-26 09:57:43,idle,SAMPLED_STATE,,2.6
2025-05-26 09:57:43,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-05-26 09:57:44,working_normal,SAMPLED_STATE,,95.5
2025-05-26 09:57:45,working_normal,SAMPLED_STATE,,100.0
2025-05-26 09:57:45,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.07s",
2025-05-26 09:57:46,idle,SAMPLED_STATE,,19.6
2025-05-26 09:57:47,idle,SAMPLED_STATE,,5.0
2025-05-26 09:57:48,idle,SAMPLED_STATE,,2.3
2025-05-26 09:57:49,idle,SAMPLED_STATE,,2.3
2025-05-26 09:57:49,working_normal,WORKLOAD_START,"type:normal,size:3000",
2025-05-26 09:57:50,working_normal,SAMPLED_STATE,,92.3
2025-05-26 09:57:51,working_normal,WORKLOAD_END,"type:normal,size:3000,duration:1.51s",
2025-05-26 09:57:51,idle,SAMPLED_STATE,,62.4
2025-05-26 09:57:52,idle,SAMPLED_STATE,,9.9
2025-05-26 09:57:53,idle,SAMPLED_STATE,,2.3
2025-05-26 09:57:54,idle,SAMPLED_STATE,,2.3
2025-05-26 09:57:55,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-05-26 09:57:55,working_normal,SAMPLED_STATE,,46.6
2025-05-26 09:57:56,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.30s",
2025-05-26 09:57:56,idle,SAMPLED_STATE,,89.7
2025-05-26 09:57:57,idle,SAMPLED_STATE,,9.1
2025-05-26 09:57:58,idle,SAMPLED_STATE,,3.1
2025-05-26 09:57:59,idle,SAMPLED_STATE,,2.8
2025-05-26 09:58:00,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-05-26 09:58:00,working_normal,SAMPLED_STATE,,27.3
2025-05-26 09:58:01,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.29s",
2025-05-26 09:58:01,idle,SAMPLED_STATE,,94.8
2025-05-26 09:58:02,idle,SAMPLED_STATE,,8.5
2025-05-26 09:58:03,idle,SAMPLED_STATE,,3.4
2025-05-26 09:58:04,idle,SAMPLED_STATE,,2.5
2025-05-26 09:58:05,working_normal,WORKLOAD_START,"type:normal,size:3200",
2025-05-26 09:58:06,working_normal,SAMPLED_STATE,,28.1
2025-05-26 09:58:07,working_normal,SAMPLED_STATE,,99.8
2025-05-26 09:58:07,working_normal,WORKLOAD_END,"type:normal,size:3200,duration:1.81s",
2025-05-26 09:58:08,idle,SAMPLED_STATE,,56.2
2025-05-26 09:58:09,idle,SAMPLED_STATE,,5.6
2025-05-26 09:58:10,idle,SAMPLED_STATE,,2.5
2025-05-26 09:58:11,idle,SAMPLED_STATE,,2.5
2025-05-26 09:58:11,working_normal,WORKLOAD_START,"type:normal,size:3000",
2025-05-26 09:58:12,working_normal,SAMPLED_STATE,,55.5
2025-05-26 09:58:13,working_normal,WORKLOAD_END,"type:normal,size:3000,duration:1.48s",
2025-05-26 09:58:13,idle,SAMPLED_STATE,,97.5
2025-05-26 09:58:14,idle,SAMPLED_STATE,,7.4
2025-05-26 09:58:15,idle,SAMPLED_STATE,,3.3
2025-05-26 09:58:16,idle,SAMPLED_STATE,,2.3
2025-05-26 09:58:17,working_normal,WORKLOAD_START,"type:normal,size:3000",
2025-05-26 09:58:17,working_normal,SAMPLED_STATE,,25.8
2025-05-26 09:58:18,working_normal,SAMPLED_STATE,,99.8
2025-05-26 09:58:18,working_normal,WORKLOAD_END,"type:normal,size:3000,duration:1.59s",
2025-05-26 09:58:19,idle,SAMPLED_STATE,,38.7
2025-05-26 09:58:20,idle,SAMPLED_STATE,,5.2
2025-05-26 09:58:21,idle,SAMPLED_STATE,,3.0
2025-05-26 09:58:22,idle,SAMPLED_STATE,,3.6
2025-05-26 09:58:22,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-05-26 09:58:23,working_normal,SAMPLED_STATE,,72.8
2025-05-26 09:58:24,working_normal,SAMPLED_STATE,,99.5
2025-05-26 09:58:24,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.09s",
