Model,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
AnomalyTransformer,9.559893369674684,0.0170302958512776,0.5193780557884524,0.0255220483575954,0.4902133978188024,0.0517241379310344,0.2110817941952506,0.057887120115774,0.0517038777908343,0.6318563112445035
AutoEncoder,1.226701021194458,0.0275004521713517,0.7108238892395424,0.0483793483777358,0.7725108580051732,0.0617433414043583,0.0974450386215092,0.062135922330097,0.0534145197317058,0.7879837740067351
CNN,1.5905773639678955,0.1373867166746849,0.5639183804203445,0.0704680278132905,0.6704189584479947,0.2068965517241379,0.3647798742138364,0.4022988505747121,0.2830188679245283,0.7385084021135246
FFT,0.0252308845520019,0.0241529893019738,0.5053037653908112,0.0425394674955383,0.5063476597848876,0.0750853242320819,0.0717131474103585,0.0801335559265438,0.0610476844053486,0.4231078343129594
FITS,1.5245773792266846,0.0221015103820963,0.538195589302032,0.0312179598112671,0.6502138368664185,0.0631578947368421,0.2857142857142857,0.0781577110956034,0.061269146608315,0.7349917304573694
IForest,0.3219861984252929,0.0126305342185992,0.4230922616524259,0.0193506578069477,0.4666420438590251,0.0313038034121145,0.0316118935837245,0.0310053241465705,0.0402873046045029,0.6677515725307487
KMeansAD_U,0.2131719589233398,0.3575516222194501,0.9723334369593,0.4893046955669007,0.9803833736204888,0.4187192118226601,0.4492753623188406,0.4278438030560268,0.4874151019581659,0.9361667405326772
KShapeAD,52.714611291885376,0.5994515459217219,0.9897802815486116,0.8021519617455022,0.9958981482555213,0.640625,0.6966292134831461,0.6764091858037572,0.6936614450163572,0.9654285737423788
Left_STAMPi,7.078054904937744,0.0454601854043401,0.762613321275039,0.0743238300207594,0.7734061811793131,0.1078167115902965,0.1078167115902965,0.1113716295427898,0.2336881573444635,0.4554684421848635
LOF,0.0403950214385986,0.0295670878667091,0.5644867531472464,0.0393886689349507,0.6233668489632463,0.1052631578947368,0.303030303030303,0.1408577878103835,0.119814081597521,0.7365891345052225
LSTMAD,1.9907450675964355,0.4176236907280762,0.8118560666723191,0.3821645068417156,0.8776098988082754,0.486111111111111,0.9207920792079208,0.8730385164051349,0.5968725740268382,0.9506505495560448
M2N2,0.5561320781707764,0.1207944656505123,0.6149211971625326,0.0552605953533849,0.6726214754053472,0.1843971631205674,0.3483870967741935,0.3730569948186524,0.2564102564102564,0.7508558615250934
MatrixProfile,31.425018072128296,0.1360054366451697,0.7299311044329932,0.1724196057615041,0.8393329230194884,0.1889763779527559,0.4137931034482758,0.329341317365269,0.1850443599493029,0.5472111765180608
MOMENT_ZS,6.145831108093262,0.0284716906835664,0.4816629141505968,0.0399420217304232,0.5778624588272355,0.0548340548340548,0.0659971305595408,0.0568047337278105,0.039756953962847,0.8161999312127308
OmniAnomaly,1.0631382465362549,0.1916717416665077,0.6077819960873347,0.2281447305871173,0.6898043633569848,0.3841059602649007,0.3841059602649007,0.5479452054794515,0.5262057999545696,0.6871230034415177
POLY,0.7918298244476318,0.0941402526959332,0.4554125726559335,0.164021082785842,0.5103687041806498,0.2736842105263157,0.2826086956521739,0.3578219533275708,0.3447714634477146,0.6358764281267475
SAND,2.056321859359741,0.5560759842378258,0.9422646355977176,0.514575245459593,0.9654480488612052,0.5562913907284768,0.620253164556962,0.5602049530315965,0.5241026382117796,0.5916406525940677
SR,0.0040831565856933,0.2485235238381583,0.7055122733967023,0.1943519940293722,0.815056054543289,0.3026315789473684,0.7475728155339806,0.5779967159277499,0.3976143141153081,0.9162753481548656
Sub_HBOS,2.260086297988892,0.1307775051790341,0.7928092999594917,0.0689614527418536,0.8352998755172804,0.1751824817518248,0.226950354609929,0.1577060931899637,0.0906040268456375,0.3771981200367374
Sub_IForest,0.5679566860198975,0.0294973863175467,0.4024926755282569,0.0425376872636633,0.5353037368833422,0.065359477124183,0.15,0.1142857142857138,0.0850632911392405,0.6125878972339992
Sub_KNN,0.0595195293426513,0.2767738170693514,0.9697129560720106,0.4624642934995214,0.9814820153782976,0.4289855072463768,0.4425287356321839,0.4428436018957342,0.3441521482881314,0.908784483743137
Sub_LOF,0.1576132774353027,0.3358198938425297,0.982057006842454,0.4887030431801341,0.9862852315394794,0.5248618784530388,0.5489130434782609,0.5310734463276832,0.6164698422848405,0.9853798797012744
Sub_MCD,0.2131900787353515,0.0622950842861353,0.796181854151162,0.1227529305525372,0.8575058639183256,0.1723076923076923,0.4450261780104712,0.2099533437013994,0.1576994434137291,0.8266886436461842
Sub_OCSVM,0.2508594989776611,0.2324705650741876,0.9566702150709838,0.3242909867531244,0.96775444398707,0.3052208835341365,0.3353057199211045,0.3126149319602792,0.3245221360597881,0.8962487385542558
Sub_PCA,0.0060052871704101,0.1125072641188972,0.4223731602465669,0.2274594726794183,0.5260849453585481,0.3027027027027028,0.3118279569892473,0.4020848845867456,0.3779503153718598,0.6842134139509376
TranAD,0.6418962478637695,0.0177535368932063,0.5611864231142429,0.0389155230277624,0.6861730296202344,0.0420499342969776,0.0798969072164948,0.04214091803442,0.0304432093555263,0.6745912007097208
USAD,0.5934698581695557,0.023829749061097,0.6158004477897838,0.0495972175246459,0.6644516117365314,0.0632805995004163,0.0776859504132231,0.063633520950594,0.0687830554740508,0.8016730137260335
