Model,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
AnomalyTransformer,9.127278089523315,0.0171439336850037,0.4752731454859114,0.0220918859576609,0.4767282446061033,0.0337099462863493,0.0,0.0,0.0,0.647788837481034
AutoEncoder,1.2854626178741455,0.009900552700169,0.1797262541943393,0.0119421503692279,0.1659795285099385,0.0344762265580602,0.0344762265580602,0.0341102899374644,0.081179781907848,0.6614999785671741
CNN,0.3489704132080078,0.9464780917661858,0.9582682986938308,0.9474613099472244,0.9765520526505396,0.9717514124293786,1.0,0.9999999999999996,0.9487291017024952,0.99982513738095
FFT,0.0180881023406982,0.583465942915047,0.907204258268088,0.4994519578153967,0.9379131149325416,0.6153846153846154,0.6746987951807228,0.6675938803894292,0.6808325936301375,0.750636492614058
FITS,1.3392248153686523,0.0318008695550531,0.5354209715911844,0.0374634395744047,0.5954856382555552,0.0926640926640926,0.3254237288135593,0.1164021164021162,0.0816039122831453,0.6792226307216843
IForest,0.2080585956573486,0.1081083576714089,0.915339117466777,0.1321790912166711,0.9002796410289756,0.222689075630252,0.2301255230125523,0.2226027397260271,0.1706168735863336,0.6444381229849289
KMeansAD_U,0.2015297412872314,0.1211354536828903,0.9173728322664494,0.1432578526539591,0.9021747846086812,0.2456140350877193,0.2558139534883721,0.2515723270440246,0.1004332414336352,0.4907823460805962
KShapeAD,46.62173843383789,0.2319035645108359,0.9418995801974523,0.2119231414468447,0.943671675534386,0.3529411764705882,0.7330316742081447,0.5218508997429301,0.4188694990550524,0.8374477346669397
Left_STAMPi,5.605187654495239,0.022386131911804,0.6119185587270694,0.030375469192521,0.594293956879534,0.0529470529470529,0.0674268715914724,0.052542943752105,0.0503221690821036,0.7195025036041334
LOF,0.0215158462524414,0.0309564775960809,0.6006336006336007,0.0427005485546344,0.6668776775422989,0.1142857142857143,0.35,0.1288659793814431,0.115085107235562,0.7404542151176499
LSTMAD,1.7843422889709473,0.700881795992727,0.9697354590971612,0.7083943621714549,0.9759050890648788,0.6993865030674847,0.9238578680203046,0.881889763779527,0.4895554860432857,0.9602083618073812
M2N2,0.5884134769439697,0.9461692372848384,0.9682630959226703,0.9376157788904144,0.987742745300533,0.9540229885057472,1.0,0.9999999999999996,0.9352460847335632,0.9992464990022076
MatrixProfile,26.748085021972656,0.1077436814891403,0.804599081194826,0.1544059109916349,0.8909657086005633,0.210727969348659,0.3261648745519713,0.2199170124481325,0.1260974534454291,0.8329935000226404
MOMENT_ZS,5.602032423019409,0.1873699943361245,0.9627717500057924,0.223253223419921,0.9670416569426934,0.3305084745762712,0.3752577319587629,0.3369803063457326,0.3143032429066683,0.9148942769984966
OmniAnomaly,1.377525806427002,0.9791081037019836,0.9995997868338292,0.9865837802510862,0.9998354330231648,0.9130434782608696,0.9528795811518324,0.948571428571428,0.9171590809838084,0.9969828774776102
POLY,0.7793099880218506,0.7868899032926182,0.9953849102785274,0.8133002941300912,0.996791133660151,0.721311475409836,0.7489711934156379,0.731277533039647,0.7129364717076966,0.9788978407620296
SAND,1.6516695022583008,0.0614090267393004,0.8385392640711791,0.0742839333460683,0.8611624477975411,0.1479915433403805,0.3440453686200378,0.1638554216867468,0.1742651449561487,0.8009643777921333
SR,0.0049991607666015,0.4325065985471082,0.9027503070056262,0.4522368083728956,0.937772627632022,0.4266666666666667,0.8708133971291866,0.6966292134831455,0.3606670551101956,0.8993881615389233
Sub_HBOS,2.192356586456299,0.4562284901597285,0.8221558008792053,0.3928002599824761,0.8999011816570602,0.5263157894736842,0.896551724137931,0.7586206896551719,0.4479859455389635,0.9252441022655156
Sub_IForest,0.3729672431945801,0.8426576632913781,0.9932764188083336,0.8795302880993813,0.9966236076720494,0.7727272727272727,0.914572864321608,0.8874172185430459,0.7304545214442024,0.9726137349741584
Sub_KNN,0.1176278591156005,0.0647867549863463,0.8746595555106192,0.086668773298232,0.8875408349830638,0.1459034792368125,0.1766004415011037,0.1467649467649465,0.1291521817343797,0.8252402162819309
Sub_LOF,0.1447327136993408,0.1618750541947738,0.9526189738955696,0.2120694125914376,0.9529815489167572,0.2849002849002849,0.3685636856368564,0.3021582733812946,0.260374529015956,0.8376193867395824
Sub_MCD,0.7398035526275635,0.0107501506506021,0.270091227538036,0.0132298234457669,0.2594845604875797,0.0338478705597917,0.0338478705597917,0.0334883720930232,0.113329268140175,0.668336176523238
Sub_OCSVM,0.2616255283355713,0.0648271282844212,0.7715688566752396,0.0749434951164856,0.748527544147246,0.1513157894736842,0.3470588235294117,0.1779935275080904,0.1383069548072177,0.6860295112946316
Sub_PCA,0.0109305381774902,0.98828956322145,0.9997809359511488,0.9892723795128516,0.9998750502992884,0.946808510638298,0.9578947368421052,0.9565217391304344,0.9451574080764552,0.9974494060698466
TranAD,4.7201762199401855,0.8239430420773864,0.9960631662759324,0.8913042994223384,0.9976413389907026,0.7483870967741935,0.9680851063829788,0.9499999999999996,0.7616248860967075,0.9923780854151196
USAD,0.541313886642456,0.1291432562086762,0.9452666367559984,0.1746392526385493,0.9462347921930088,0.2650602409638554,0.309197651663405,0.2706722189173108,0.2717897089301587,0.9003262262083104
