Model,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
AnomalyTransformer,10.358952522277832,0.0204436222958228,0.4818833196366252,0.0315435295269499,0.4866626435529546,0.0402239270163798,0.0340715502555366,0.0049382716049381,0.0032520325203252,0.57368084963953
AutoEncoder,1.8522419929504397,0.020483440140615,0.4876746330284423,0.0352278432174005,0.5242284790747112,0.0480431848852901,0.0709522539343825,0.0484421446658592,0.0332782019415241,0.6273961063090788
CNN,1.7876789569854736,0.3190537304146517,0.5636312311670264,0.0941039060366438,0.5556291015499187,0.4664031620553359,0.4784313725490196,0.3199999999999997,0.2854810178255545,0.3199597950279407
FFT,0.0463452339172363,0.1247081997447387,0.553243447294399,0.0550896229790539,0.4275845530055812,0.2636103151862464,0.2135231316725978,0.1492537313432832,0.1455223880597015,0.1700615459186142
FITS,2.067169427871704,0.0640950180889983,0.5868933638892415,0.044293947176379,0.6666086465908723,0.0841121495327102,0.2773109243697479,0.1116951379763465,0.0614335737883418,0.6468442150753152
IForest,0.2581501007080078,0.1250639947602686,0.593004545525408,0.0500348753523328,0.532948052792359,0.2015503875968992,0.2290076335877862,0.1536098310291855,0.0955420172130354,0.2443515305651376
KMeansAD_U,0.2305200099945068,0.0243307803456447,0.5499857465151343,0.0336365162508087,0.4480844336744732,0.0690316395014381,0.0764087870105062,0.0640439158279959,0.1250490812388699,0.2876568015928246
KShapeAD,1.4094371795654297,0.0390977928929609,0.6980148681664006,0.0473040247645569,0.7076618010269814,0.0760456273764258,0.0760456273764258,0.0700389105058361,0.0419516643866849,0.3179067771252602
Left_STAMPi,7.161781072616577,0.0350635766365425,0.691893664548688,0.048379196035285,0.7102216176340326,0.0762942779291553,0.1322751322751322,0.0842787682333868,0.0460336322062583,0.3891083760928557
LOF,0.0315167903900146,0.0177495424957972,0.4087821510735769,0.0319087584942936,0.509903190394559,0.0615655233069481,0.1097770154373928,0.0630749014454663,0.0428260524185515,0.6527276833388058
LSTMAD,2.0009584426879883,0.1007662845855135,0.6477613120332818,0.0581018316710513,0.7293196688407223,0.1408450704225352,0.471042471042471,0.3060109289617483,0.1158699808795411,0.3932636420226245
M2N2,0.2024292945861816,0.321939352866142,0.6197365109696156,0.1039788073468777,0.6357903967071101,0.4664031620553359,0.4784313725490196,0.3199999999999997,0.2836125868410298,0.3199580036654362
MatrixProfile,0.051668643951416,0.0735422944731849,0.6209850828372453,0.1033276469034024,0.7788411894059185,0.1182608695652174,0.4158125915080527,0.1498829039812644,0.1658451024768629,0.8059010235427754
MOMENT_ZS,4.049524784088135,0.0966355398577154,0.6133956589230156,0.076051143293107,0.5909869400260659,0.2863961813842482,0.2904761904761905,0.2210772833723648,0.1820485526265812,0.3132666635941897
OmniAnomaly,1.460771083831787,0.5148574237118233,0.8397674454859883,0.3941692639119818,0.878166853959611,0.6404199475065617,0.7666666666666667,0.6585034013605436,0.3007491632454114,0.839603504653167
POLY,0.0380253791809082,0.2589012457422415,0.6069801987915717,0.111688620397368,0.516312287378632,0.3789473684210526,0.4265734265734265,0.2894534257120858,0.2500695216907675,0.3165224138251692
SAND,2.558051347732544,0.0420392709624815,0.6927872912365566,0.0548575164920316,0.7197636892261737,0.08363201911589,0.1092337917485265,0.084497887552811,0.0899137977419223,0.6745056785526615
SR,0.0015027523040771,0.1093538499867822,0.5933915053684414,0.0673443211898763,0.6897685351661692,0.1602373887240356,0.4914841849148418,0.2473246135552909,0.1186575439917979,0.6647594091408806
Sub_HBOS,0.0049991607666015,0.2092715977973212,0.6744654386398612,0.1684798486761218,0.7795618243592797,0.2669683257918552,0.5919117647058824,0.3369065849923426,0.2043296802043172,0.7718104422043196
Sub_IForest,0.1878089904785156,0.3550200038110392,0.6704121038811793,0.1710582705552674,0.6826676909941832,0.46875,0.4747081712062256,0.3182737693863786,0.3115495505681497,0.3198624348066362
Sub_KNN,0.2193353176116943,0.0199064648641641,0.5113735571130458,0.0305323821511661,0.4697743174088882,0.0463808854532677,0.0559440559440559,0.0456781447645817,0.0459615667349997,0.6143663310772164
Sub_LOF,0.1570732593536377,0.0603056499906512,0.595704912775354,0.0514590041188216,0.4911740383102413,0.1761006289308176,0.1875,0.1441124780316339,0.1239466192401276,0.2918415171871557
Sub_MCD,9.089707612991331,0.0268045409312085,0.5208963883005614,0.0401950171720611,0.5226696983886556,0.0637204522096608,0.1197604790419161,0.0679501698754244,0.0467832824691607,0.5466935030134717
Sub_OCSVM,0.7476916313171387,0.0233855904272482,0.4790345713821203,0.0374620381793797,0.548993430627215,0.066066066066066,0.127906976744186,0.0751072961373388,0.0843231589244006,0.6468001245427857
Sub_PCA,0.0050024986267089,0.3317692021438965,0.6392754775474206,0.1230463041034484,0.5795337019250419,0.4615384615384616,0.4674329501915709,0.3148765843895927,0.3081915305247731,0.3196384746330078
TranAD,8.515591382980347,0.2698026488152925,0.698941623071047,0.135894964529235,0.7731415424634198,0.3734439834024897,0.4747081712062256,0.3176895306859202,0.2563072434655762,0.3186040544350462
USAD,0.964125156402588,0.0756607293063579,0.7173865233300595,0.0745503691370017,0.6647464437140186,0.2321083172147001,0.2355212355212355,0.1867827463395325,0.1149176658900541,0.3086612347807819
