Model,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
AnomalyTransformer,6.1366119384765625,0.021684622889302,0.4882489966846972,0.0269493710419238,0.4826431867365597,0.0405405405405405,0.2424242424242424,0.083333333333333,0.0538461538461538,0.5271276191985065
AutoEncoder,0.8714637756347656,0.0314699363602776,0.6456115861106264,0.0387426010245752,0.6871217396154471,0.0689655172413793,0.2127659574468085,0.0789177001127394,0.0590823381521055,0.7199319626156253
CNN,0.2526528835296631,0.0172808205287787,0.4474541964753097,0.0219790585823796,0.462200852167012,0.0491400491400491,0.0491400491400491,0.0487150837988826,0.0327268979157523,0.6773585423318765
FFT,0.0211431980133056,0.0206766917293233,0.3122840690978886,0.0259836310743761,0.3318690160272401,0.0405156537753222,0.0,0.0,0.0,0.6142305246043324
FITS,1.2239630222320557,0.0178281711127939,0.4364002791833886,0.0233945050220408,0.5103153194234863,0.0407857811038353,0.0411522633744856,0.0404342942718082,0.034309849953259,0.6731339546608314
IForest,0.290468692779541,0.0131526036024446,0.2682987262257895,0.016646882985746,0.2111600850064782,0.0405305821665438,0.0405305821665438,0.0401769259122741,0.0187201128626042,0.6720300517728541
KMeansAD_U,0.1014378070831298,0.0628665520961593,0.6213662537079043,0.048518648499126,0.5825307718686782,0.1333333333333333,0.1639344262295081,0.1418439716312052,0.1231906375115491,0.5125619596112582
KShapeAD,1.882305145263672,0.5849401943697881,0.920891641947304,0.5618645989558517,0.9444524434908332,0.6012269938650308,0.9345794392523364,0.9160305343511446,0.6809091175008044,0.9445669438396476
Left_STAMPi,2.870469808578491,0.0583129473409297,0.7618303960914325,0.0702019781966794,0.7497590090869716,0.1272727272727272,0.1769911504424778,0.1302353115287848,0.1256613513553716,0.7209589538333856
LOF,0.0222294330596923,0.0239130434782608,0.4361804222648752,0.0272413430898709,0.4532754034254575,0.0467091295116772,0.0,0.0,0.0,0.5978335782483343
LSTMAD,1.4972939491271973,0.0212080904305833,0.5416210085499913,0.027355216151888,0.6055438980758163,0.063454759106933,0.0852052672347017,0.0634417129262489,0.033290294440548,0.6834855379405845
M2N2,0.6209452152252197,0.0183750922149654,0.4805356831268539,0.0219656362657266,0.526853667145123,0.0454840805717998,0.0475984422327996,0.0451193058568329,0.0300246354676565,0.6678938007468107
MatrixProfile,0.0373697280883789,0.0216354960465696,0.4504048159134531,0.0243548340191137,0.446746817973648,0.0454545454545454,0.1438848920863309,0.0930232558139529,0.0493150684931506,0.5084598227870463
MOMENT_ZS,3.2856507301330566,0.0147924800987948,0.3359396265922177,0.0178236993954129,0.294371454879607,0.0418967815654161,0.0418967815654161,0.0415317203276814,0.0209795585258911,0.66878676489073
OmniAnomaly,1.394336462020874,0.2378316062830686,0.8521130692723782,0.2666833921474636,0.8712290283865134,0.5617021276595745,0.7885304659498208,0.6878306878306873,0.2716981132075471,0.8983286512035997
POLY,0.0492017269134521,0.0164235854133488,0.3716454370964928,0.0211039225114346,0.345865211977661,0.0448065173116089,0.0448613376835236,0.0440816326530611,0.0194004510199666,0.6855706145735009
SAND,1.9605164527893064,0.505197009634817,0.93705810504275,0.4224507312592442,0.9486500559176544,0.4867724867724867,0.7174887892376681,0.6434316353887394,0.4666793966011074,0.8200436199945275
SR,0.0009982585906982,0.025829160511833,0.5871523294363986,0.0324918660293887,0.6454843187681196,0.0577617328519855,0.2205071664829107,0.0617201127062927,0.0612878076721134,0.683443999617905
Sub_HBOS,0.0031104087829589,0.6075727691666883,0.8313636363636364,0.5494071681366166,0.8735746330823155,0.735632183908046,1.0,0.9999999999999996,0.6778846153846155,0.9948382482637697
Sub_IForest,0.1871716976165771,0.0110336103741588,0.0891580875937881,0.013223299081467,0.1316875595521223,0.0405156537753222,0.0405156537753222,0.0383905500184569,0.0166479135914657,0.6714938923283565
Sub_KNN,0.0633416175842285,0.0632267682826555,0.7234479148490666,0.0797518715573813,0.7677142889703268,0.1619433198380566,0.299625468164794,0.2018592297476755,0.1333333333333333,0.7240853047530559
Sub_LOF,0.0551109313964843,0.065045042399833,0.8237567614726923,0.0824817865021652,0.861204132410903,0.1394585726004922,0.1768488745980707,0.1409395973154361,0.0779566199352605,0.7336874916389475
Sub_MCD,1.0903599262237549,0.034495589700252,0.6671627988134707,0.0467806878839662,0.7133720694192919,0.0852878464818763,0.2004008016032064,0.0950475237618807,0.0568314460260433,0.6736626556707085
Sub_OCSVM,0.1761188507080078,0.0647524308578014,0.760692723782935,0.0623138508492469,0.7933853298251918,0.1137123745819398,0.2114164904862579,0.1189060642092745,0.1226700561905714,0.6681501811655921
Sub_PCA,0.0020766258239746,0.0149520924295853,0.3463418251614029,0.0190865155140027,0.3697730384857939,0.046554084892743,0.0501138952164009,0.046203110704483,0.030076444694728,0.6767282251906523
TranAD,0.5421092510223389,0.0219455141426143,0.5442540568836154,0.0310113165348842,0.6187632685945409,0.0654088050314465,0.0910219280099296,0.0655040408336877,0.0332802785255164,0.6905971682401322
USAD,0.4699158668518066,0.0274774612497884,0.5958689582969813,0.0361858395122733,0.5930837569074003,0.0553846153846153,0.0781928757602085,0.0553626351820616,0.0402292521009225,0.6440438262038879
