Model,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
AnomalyTransformer,8.274397611618042,0.0337800928348307,0.5028934262065543,0.0424721340123466,0.4940474963619037,0.0644673659590087,0.1220159151193634,0.0594059405940589,0.0394160583941605,0.5584740917584258
AnomalyTransformer,5.468125581741333,0.0359132473066334,0.5013322462676427,0.0426333753793728,0.4856644577616248,0.0644679898522608,0.1976401179941003,0.0616589185221432,0.0525182550084253,0.6133064422189265
AutoEncoder,0.9681661128997804,0.1324641456652351,0.8462400229229069,0.1625531809175881,0.8390171176841922,0.2548973933921064,0.3355704697986577,0.2750462107208868,0.2274898135355314,0.8499592099902582
AutoEncoder,0.8366172313690186,0.1381795506967638,0.8515867318906081,0.1619711351154192,0.832932186721778,0.2577639751552795,0.2922374429223744,0.2688863665027111,0.1396724280280064,0.6814160035593141
CNN,0.4233236312866211,0.2254645107504833,0.7814621328937807,0.2156699547416822,0.8307548923680865,0.316321882617235,0.675,0.4828164291701587,0.2602500112127017,0.7602155581245291
CNN,0.3325655460357666,0.1894351254476318,0.7799256925612804,0.1859630728837188,0.829610166887948,0.301521438450899,0.5060827250608273,0.349595375722543,0.1408097833388403,0.7391508266191053
FFT,0.0209953784942626,0.0362730118483548,0.3471088631301584,0.0441630945398643,0.2556432573315928,0.0816289547698043,0.0816326530612244,0.0823045267489708,0.0345344613846693,0.591140814253474
FFT,0.0192852020263671,0.0362730118483548,0.3471088631301584,0.0441630945398643,0.2556432573315928,0.0816326530612245,0.0529100529100529,0.0527704485488121,0.026749888542131,0.2193215761315789
FITS,1.573054313659668,0.041122668476066,0.5616462989548809,0.0477034636694411,0.6024350308899317,0.0758021873173051,0.2939068100358423,0.1176470588235289,0.0700407153532958,0.6728318087995949
FITS,1.0660791397094729,0.0307566127544067,0.4584588776046744,0.0366983998651769,0.4996120022207906,0.0651571917250366,0.070186839967506,0.0650220552197352,0.0714389930433617,0.6689135267155601
IForest,0.2589998245239258,0.0297332533754404,0.4345648487856177,0.0371920371059167,0.4122088859259302,0.0684881519880302,0.0909090909090909,0.0660377358490561,0.13932486856776,0.6681241904505716
IForest,0.2536203861236572,0.0297332533754404,0.4345648487856177,0.0371920371059167,0.4122088859259302,0.0684931506849315,0.0728929384965831,0.0660377358490561,0.015777175753471,0.2462055524358663
KMeansAD_U,0.2822046279907226,0.9512736799112276,0.9992600272948016,0.9803422976567387,0.99965584090997,0.952590939903612,0.993103448275862,0.9889298892988924,0.953078998038011,0.9989864472857716
