Model,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
AnomalyTransformer,6.087820053100586,0.0085337637599739,0.5178821746542905,0.0144081959842937,0.4915129338478625,0.0327868852459016,0.064516129032258,0.026143790849673,0.0252252252252252,0.664063610164455
AutoEncoder,1.190579891204834,0.0110945025700019,0.5629948853949612,0.0193738837177616,0.5602979949492987,0.0357142857142857,0.0496453900709219,0.0306513409961684,0.0260809883321894,0.5608308059751475
CNN,0.4852433204650879,0.0044360766349289,0.1372939950748247,0.0086093426476565,0.2993600013799829,0.016260162601626,0.016260162601626,0.0158601057340382,0.0109969798251924,0.6629537954561806
FFT,0.0160188674926757,0.0075202105658958,0.3364273536654669,0.014309575044555,0.3395672547741094,0.0149281582384773,0.0,0.0,0.0,0.5760643534790316
FITS,1.223027229309082,0.0077304425307044,0.512341352528888,0.0142160430486719,0.6152709874815074,0.0205415499533146,0.0460829493087557,0.0191256830601092,0.0238181190051975,0.6707884067811765
IForest,0.2110559940338134,0.0120317132558065,0.667555408221254,0.0189963373399918,0.654804116256131,0.0278833967046894,0.0278833967046894,0.0254885301614272,0.0296969696969696,0.4897625459644632
KMeansAD_U,0.1137542724609375,0.0174749507173556,0.5914046220875165,0.0228547848783501,0.5410694593926466,0.110091743119266,0.110091743119266,0.1047120418848163,0.136532942541369,0.3936545827839074
KShapeAD,1.296602487564087,0.0096500676371386,0.6309054745216897,0.0168676314025118,0.6655081055365691,0.028770706190061,0.0313452329124945,0.0279695830784022,0.0352519007310818,0.7206032764545381
Left_STAMPi,2.8486714363098145,0.0174265730617206,0.6919658079181663,0.0275943216205071,0.6590992966726066,0.06,0.06,0.0493827160493823,0.0121212121212121,0.4825123816492317
LOF,0.0175096988677978,0.0502854440878428,0.926027656753173,0.0620798510330808,0.9264252039226258,0.1659751037344398,0.1659751037344398,0.1554621848739494,0.1234526030184839,0.7246755004637565
LSTMAD,1.5789508819580078,0.0052644826465188,0.330734987687062,0.0093114331586514,0.5000168262121162,0.0150432493418578,0.0150432493418578,0.0146726862302482,0.0121063434665337,0.6665290621897488
M2N2,0.511066198348999,0.004704166173623,0.2338842583822693,0.008820654416879,0.437950421454183,0.0153286070128377,0.0153286070128377,0.0149511213341,0.0146747603133192,0.666256703787987
MatrixProfile,0.0250728130340576,0.0095805403827226,0.5403059291532488,0.0282359258612336,0.6903905749042606,0.0379146919431279,0.0,0.0,0.0,0.7303601131334593
MOMENT_ZS,3.0963282585144043,0.0056588044710029,0.3700274673233567,0.0091811327442344,0.3589776917263911,0.0155038759689922,0.0155038759689922,0.0151221403644823,0.0035294596959701,0.6634717678846921
OmniAnomaly,1.5170729160308838,0.0049260683953175,0.2509376775904527,0.0156224898840975,0.5424770430756696,0.0159045725646123,0.0159045725646123,0.0155131264916467,0.0086920586260164,0.6704024307860968
POLY,0.0287935733795166,0.0057699338884803,0.3635679105891267,0.0108426357212687,0.350412364184864,0.0181902985074626,0.018682858477347,0.0173058933582787,0.0074972331146632,0.6739015301431207
SAND,1.8236863613128664,0.0115223172445502,0.6955341920818336,0.0203314324244867,0.72907039914305,0.0321910695742471,0.0332122470160871,0.03122289679098,0.0386800463264905,0.7208500733759245
SR,0.0009984970092773,0.0052727262087071,0.3402301572267475,0.0101228811868739,0.5141867986981088,0.0150659133709981,0.0150659133709981,0.0146948003014317,0.011544006249436,0.6665273930146067
Sub_HBOS,0.001997947692871,0.007112778149575,0.4414638189050956,0.0102294490408529,0.5115015066592635,0.0197348134443416,0.0249921899406435,0.017626691847655,0.0304406722105954,0.6773093567637856
Sub_IForest,0.1568124294281005,0.0195446883005652,0.7883974237544991,0.0457482243353859,0.8525362896966348,0.0529217199558985,0.0678336980306345,0.0512463445202617,0.0444297283557182,0.7076888178643089
Sub_KNN,0.0781035423278808,0.0096747850330036,0.5964955483993181,0.0199600953893729,0.6326823804352428,0.0247568523430592,0.0230088495575221,0.0230957139684654,0.0063001653271861,0.7271629148811192
Sub_LOF,0.0646100044250488,0.0060443506905707,0.4246353476037128,0.0105389732916655,0.4209474777916137,0.017245191244749,0.017683465959328,0.0168141592920353,0.0362620810234718,0.6522195691121411
Sub_MCD,6.312931299209595,0.01244749210188,0.6282913430573973,0.0231740420223776,0.7031907735597273,0.0394736842105263,0.1019108280254777,0.0327868852459014,0.0329218106995884,0.5494668964106297
Sub_OCSVM,0.2184207439422607,0.0073690254913309,0.5223574540632696,0.0143588069462818,0.6282931085060163,0.0181239284839578,0.0195790504160548,0.0176557135850907,0.010845643920043,0.6986160524210173
Sub_PCA,0.0020062923431396,0.0047586580745009,0.2215618488350066,0.0070773859423587,0.2921868014591519,0.0168811985650981,0.0168811985650981,0.0164661177960734,0.0226411929002213,0.6585475950892608
TranAD,5.15278434753418,0.0132786414747705,0.7199374881606365,0.0170419330260186,0.7197034906108858,0.0458190148911798,0.0458190148911798,0.0447247706422017,0.0393558259855716,0.6608738188227411
USAD,0.5557208061218262,0.0063569494488941,0.3662743890888426,0.0103345281950651,0.3208419387296051,0.0252100840336134,0.0252100840336134,0.0182648401826482,0.0093023255813953,0.3728851947926151
