timestamp,state,event_type,event_details,cpu_percent
2025-05-25 12:14:45,idle,SCRIPT_START,,
2025-05-25 12:14:45,idle,WORKLOAD_START,"type:normal,size:3200",
2025-05-25 12:14:46,working_normal,SAMPLED_STATE,,96.0
2025-05-25 12:14:47,working_normal,SAMPLED_STATE,,99.8
2025-05-25 12:14:47,working_normal,WORKLOAD_END,"type:normal,size:3200,duration:2.21s",
2025-05-25 12:14:48,idle,SAMPLED_STATE,,32.5
2025-05-25 12:14:49,idle,SAMPLED_STATE,,3.7
2025-05-25 12:14:50,idle,SAMPLED_STATE,,2.1
2025-05-25 12:14:51,idle,SAMPLED_STATE,,3.4
2025-05-25 12:14:51,idle,WORKLOAD_START,"type:normal,size:2800",
2025-05-25 12:14:52,working_normal,SAMPLED_STATE,,80.4
2025-05-25 12:14:52,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.33s",
2025-05-25 12:14:53,idle,SAMPLED_STATE,,58.5
2025-05-25 12:14:54,idle,SAMPLED_STATE,,6.6
2025-05-25 12:14:55,idle,SAMPLED_STATE,,2.3
2025-05-25 12:14:56,idle,SAMPLED_STATE,,3.9
2025-05-25 12:14:56,idle,WORKLOAD_START,"type:normal,size:3400",
2025-05-25 12:14:57,working_normal,SAMPLED_STATE,,53.2
2025-05-25 12:14:58,working_normal,SAMPLED_STATE,,100.0
2025-05-25 12:14:58,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:1.95s",
2025-05-25 12:14:59,idle,SAMPLED_STATE,,52.7
2025-05-25 12:15:00,idle,SAMPLED_STATE,,4.8
2025-05-25 12:15:01,idle,SAMPLED_STATE,,4.2
2025-05-25 12:15:02,idle,SAMPLED_STATE,,5.5
2025-05-25 12:15:02,idle,WORKLOAD_START,"type:normal,size:3000",
2025-05-25 12:15:03,working_normal,SAMPLED_STATE,,59.1
2025-05-25 12:15:04,working_normal,WORKLOAD_END,"type:normal,size:3000,duration:1.51s",
2025-05-25 12:15:04,idle,SAMPLED_STATE,,96.2
2025-05-25 12:15:05,idle,SAMPLED_STATE,,7.3
2025-05-25 12:15:06,idle,SAMPLED_STATE,,4.0
2025-05-25 12:15:07,idle,SAMPLED_STATE,,5.5
2025-05-25 12:15:08,idle,WORKLOAD_START,"type:normal,size:2800",
2025-05-25 12:15:08,working_normal,SAMPLED_STATE,,9.4
2025-05-25 12:15:09,working_normal,SAMPLED_STATE,,100.0
2025-05-25 12:15:09,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.16s",
2025-05-25 12:15:10,idle,SAMPLED_STATE,,15.5
2025-05-25 12:15:11,idle,SAMPLED_STATE,,5.4
2025-05-25 12:15:12,idle,SAMPLED_STATE,,6.0
2025-05-25 12:15:13,idle,SAMPLED_STATE,,2.1
2025-05-25 12:15:13,idle,WORKLOAD_START,"type:normal,size:2800",
2025-05-25 12:15:14,working_normal,SAMPLED_STATE,,94.0
2025-05-25 12:15:14,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.37s",
2025-05-25 12:15:15,idle,SAMPLED_STATE,,57.8
2025-05-25 12:15:16,idle,SAMPLED_STATE,,19.3
